club_id,club_code,name,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,last_season,url,transfer_euros
610,ajax-amsterdam,31,NL1,26,24.2,11,42.3,15,Johan Cruijff ArenA,55600,+€103.52m,2022,https://www.transfermarkt.co.uk/ajax-amsterdam/startseite/verein/610,103520000.0
826,rc-lens,331,FR1,30,25.7,18,60.0,13,Stade Bollaert-Delelis,38223,+€13.24m,2022,https://www.transfermarkt.co.uk/rc-lens/startseite/verein/826,13240000.0
985,manchester-united,283,GB1,32,26.0,20,62.5,18,Old Trafford,74879,€-230.03m,2022,https://www.transfermarkt.co.uk/manchester-united/startseite/verein/985,-230030000.0
13,atletico-madrid,54,ES1,22,28.5,15,68.2,17,Civitas Metropolitano,68456,€-9.25m,2022,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13,-9250000.0
1435,go-ahead-eagles-deventer,226,NL1,27,23.4,11,40.7,0,De Adelaarshorst,9909,+€750k,2022,https://www.transfermarkt.co.uk/go-ahead-eagles-deventer/startseite/verein/1435,750000.0
14589,fk-orenburg,199,RU1,25,25.8,13,52.0,4,Gazovik,10046,€-5.58m,2022,https://www.transfermarkt.co.uk/fk-orenburg/startseite/verein/14589,-5580000.0
16,borussia-dortmund,71,L1,33,24.6,16,48.5,16,SIGNAL IDUNA PARK,81365,€-25.10m,2022,https://www.transfermarkt.co.uk/borussia-dortmund/startseite/verein/16,-25100000.0
232,spartak-moskau,409,RU1,26,25.1,8,30.8,11,Otkrytie Bank Arena,44571,+€894k,2022,https://www.transfermarkt.co.uk/spartak-moskau/startseite/verein/232,894000.0
276,hellas-verona,233,IT1,29,26.3,18,62.1,6,Marcantonio Bentegodi,39211,€-5.68m,2022,https://www.transfermarkt.co.uk/hellas-verona/startseite/verein/276,-5680000.0
281,manchester-city,282,GB1,24,26.8,16,66.7,17,Etihad Stadium,55017,+€11.67m,2022,https://www.transfermarkt.co.uk/manchester-city/startseite/verein/281,11670000.0
3302,ud-almeria,439,ES1,26,26.2,13,50.0,3,Power Horse Stadium,15274,€-14.88m,2022,https://www.transfermarkt.co.uk/ud-almeria/startseite/verein/3302,-14880000.0
368,fc-sevilla,393,ES1,24,28.8,18,75.0,9,Ramón Sánchez-Pizjuán,43883,+€62.10m,2022,https://www.transfermarkt.co.uk/fc-sevilla/startseite/verein/368,62100000.0
430,ac-florenz,12,IT1,26,26.5,14,53.8,9,Artemio Franchi,43147,+€11.10m,2022,https://www.transfermarkt.co.uk/ac-florenz/startseite/verein/430,11100000.0
506,juventus-turin,245,IT1,28,27.0,17,60.7,17,Allianz Stadium,41507,+€5.03m,2022,https://www.transfermarkt.co.uk/juventus-turin/startseite/verein/506,5030000.0
1147,ac-ajaccio,0,FR1,30,28.4,15,50.0,9,Stade François-Coty,10446,+€300k,2022,https://www.transfermarkt.co.uk/ac-ajaccio/startseite/verein/1147,300000.0
1301,cs-maritimo,96,PO1,29,26.5,18,62.1,4,Estádio do Marítimo,10932,€-750k,2022,https://www.transfermarkt.co.uk/cs-maritimo/startseite/verein/1301,-750000.0
133,sc-cambuur-leeuwarden,366,NL1,30,25.7,12,40.0,5,Cambuurstadion,10250,€-550k,2022,https://www.transfermarkt.co.uk/sc-cambuur-leeuwarden/startseite/verein/133,-550000.0
237,rcd-mallorca,334,ES1,24,27.9,13,54.2,9,Mallorca Son Moix,20500,€-8.32m,2022,https://www.transfermarkt.co.uk/rcd-mallorca/startseite/verein/237,-8320000.0
2410,zska-moskau,98,RU1,26,25.1,8,30.8,7,VEB Arena,30114,€-4.72m,2022,https://www.transfermarkt.co.uk/zska-moskau/startseite/verein/2410,-4720000.0
244,olympique-marseille,309,FR1,22,26.6,16,72.7,13,Orange Vélodrome,67394,€-77.93m,2022,https://www.transfermarkt.co.uk/olympique-marseille/startseite/verein/244,-77930000.0
2995,fc-pacos-de-ferreira,179,PO1,28,25.6,12,42.9,2,Estádio Capital do Móvel,9200,+€4.96m,2022,https://www.transfermarkt.co.uk/fc-pacos-de-ferreira/startseite/verein/2995,4960000.0
366,real-valladolid,349,ES1,24,28.0,10,41.7,6,Nuevo José Zorrilla,27618,€-5.00m,2022,https://www.transfermarkt.co.uk/real-valladolid/startseite/verein/366,-5000000.0
533,tsg-1899-hoffenheim,425,L1,31,25.8,17,54.8,9,PreZero Arena,30150,+€40.40m,2022,https://www.transfermarkt.co.uk/tsg-1899-hoffenheim/startseite/verein/533,40400000.0
89,1-fc-union-berlin,190,L1,27,27.6,13,48.1,9,Stadion An der Alten Försterei,22012,+€6.02m,2022,https://www.transfermarkt.co.uk/1-fc-union-berlin/startseite/verein/89,6020000.0
995,fc-nantes,175,FR1,27,26.2,12,44.4,8,Stade de la Beaujoire,37463,€-12.45m,2022,https://www.transfermarkt.co.uk/fc-nantes/startseite/verein/995,-12450000.0
1003,leicester-city,268,GB1,27,27.0,19,70.4,17,King Power Stadium,32273,+€33.40m,2022,https://www.transfermarkt.co.uk/leicester-city/startseite/verein/1003,33400000.0
11,fc-arsenal,45,GB1,23,25.2,16,69.6,17,Emirates Stadium,60704,€-168.56m,2022,https://www.transfermarkt.co.uk/fc-arsenal/startseite/verein/11,-168560000.0
1420,sco-angers,40,FR1,31,25.0,15,48.4,6,Stade Raymond Kopa,19350,+€31.00m,2022,https://www.transfermarkt.co.uk/sco-angers/startseite/verein/1420,31000000.0
